Name,Profit
PewDiePie's Tuber Simulator,"$475,000.00 "
Hitman Sniper,"$470,200.00 "
Cytus,"$465,100.00 "
ASOS,"$460,000.00 "
Domino's Pizza USA,"$460,000.00 "
"Egg, Inc.","$460,000.00 "
Geometry Dash Lite,"$460,000.00 "
The Guardian,"$460,000.00 "
H*nest Meditation,"$458,200.00 "
Dude Perfect,"$457,100.00 "
App Store Average Profit(not common),"$112,537.84 "
Play Store Average Profit(not common),"$131,907.70 "
Common Apps Average Profit,"$396,298.49 "
