"name","category","rating","review_count","size","install_count","type","price","content_rating","genres","longevity","purchase_cost","longterm_profit"
"Ek Kahani Aisi Bhi Season 2 - The Horror Story","FAMILY",4.5,28,"5.6M","1,000+","Free","0","Teen","Entertainment",120,25000,"$155,000.00"
"Eyes - The Scary Horror Game Adventure","GAME",4.4,499483,"99M","10,000,000+","Free","0","Teen","Adventure",120,25000,"$155,000.00"
